month,anomaly_c,Temp_C,Temp_F
1893-05-01,-0.33,13.67,56.61
1893-06-01,-0.25,13.75,56.75
1893-07-01,-0.14,13.86,56.95
1893-08-01,-0.25,13.75,56.75
1893-09-01,-0.23,13.77,56.79
1893-10-01,-0.19,13.81,56.86
1893-11-01,-0.19,13.81,56.86
1893-12-01,-0.34,13.66,56.59
1894-01-01,-0.53,13.47,56.25
1894-02-01,-0.31,13.69,56.64
1894-03-01,-0.24,13.76,56.77
1894-04-01,-0.46,13.54,56.37
1894-05-01,-0.33,13.67,56.61
1894-06-01,-0.41,13.59,56.46
1894-07-01,-0.25,13.75,56.75
1894-08-01,-0.26,13.74,56.73
1894-09-01,-0.29,13.71,56.68
1894-10-01,-0.24,13.76,56.77
1894-11-01,-0.27,13.73,56.71
1894-12-01,-0.23,13.77,56.79
1895-01-01,-0.43,13.57,56.43
1895-02-01,-0.43,13.57,56.43
1895-03-01,-0.34,13.66,56.59
1895-04-01,-0.23,13.77,56.79
1895-05-01,-0.29,13.71,56.68
1895-06-01,-0.22,13.78,56.8
1895-07-01,-0.18,13.82,56.88
1895-08-01,-0.19,13.81,56.86
1895-09-01,-0.13,13.87,56.97
1895-10-01,-0.1,13.9,57.02
1895-11-01,-0.17,13.83,56.89
1895-12-01,-0.14,13.86,56.95
1896-01-01,-0.22,13.78,56.8
1896-02-01,-0.12,13.88,56.98
1896-03-01,-0.26,13.74,56.73
1896-04-01,-0.3,13.7,56.66
1896-05-01,-0.16,13.84,56.91
1896-06-01,-0.11,13.89,57
1896-07-01,-0.02,13.98,57.16
1896-08-01,-0.05,13.95,57.11
1896-09-01,-0.07,13.93,57.07
1896-10-01,0.06,14.06,57.31
1896-11-01,-0.04,13.96,57.13
1896-12-01,-0.04,13.96,57.13
1897-01-01,-0.15,13.85,56.93
1897-02-01,-0.17,13.83,56.89
1897-03-01,-0.13,13.87,56.97
1897-04-01,-0.02,13.98,57.16
1897-05-01,-0.01,13.99,57.18
1897-06-01,-0.11,13.89,57
1897-07-01,-0.02,13.98,57.16
1897-08-01,-0.09,13.91,57.04
1897-09-01,-0.08,13.92,57.06
1897-10-01,-0.13,13.87,56.97
1897-11-01,-0.17,13.83,56.89
